text,translation,tags
"Storage path decrease (# of contained item cap)","储存路径减少（包含物品数量上限）",
"Storage path decrease (seed bag combine)","储存路径减少（种子袋合并）",
"Storage path decrease (barrel combine)","储存路径减少（桶合并）",
"Storage path decrease (bucket combine)","储存路径减少（水桶合并）",
"Storage path decrease (bin combine)","储存路径减少（箱子合并）",
"Population cap","人口上限",
"Strict population cap (includes births)","严格人口上限（包括新生儿）",
"Baby+child cap","婴儿+儿童人口上限",
"Baby+child cap (percentage of total)","婴儿+儿童人口上限（占要塞百分比）",
"Visitor cap","访客上限",
"Cull dead units at","死亡单位数量达到……时开始清理",
"Seed cap (per species)","种子上限（单种作物）",
"Total seed cap","种子上限（总和）",
"Engravings start obscured","雕刻初始为遮挡状态",
"Show improvement quality in item names","在物品名上显示物品质量",
"Show numeric liquid levels","显示液体液位",
"Show up/down arrows on ramps at current elevation","在斜坡上显示当前高度层的上下箭头",
"Number of lower elevation layers to show","显示的下方高度层数量",
"Show all historical events in engravings etc.","在雕刻等中显示所有历史事件",
"Nickname position (fort mode)","昵称位置（要塞模式）",
"Replace first","替换首位",
"Nickname position (adv mode)","昵称位置（冒险模式）",
"Nickname position (legends mode)","昵称位置（传奇模式）",
"Grazing coefficient (higher = less grass)","放牧系数（数值越高＝草消耗越少）",
"Replace all","全部替换",
"Centralize","居中显示",
"Show frames-per-second","显示FPS",
"Game frames-per-second cap (default 100)","游戏FPS上限（默认100）",
"Milliseconds for each key repeat","每次按键重复的毫秒数",
"Key hold milliseconds before repeat","按键开始重复前的按住毫秒数",
"Number of key repeats before accelerating","加速前的按键重复次数",
"Maximum key repeat acceleration multiplier","按键重复加速的最大倍数",
"Disabled","禁用",
"Enable","启用",
"Milliseconds interface shutdown after recenter","界面重新居中后自动关闭的毫秒数",
"Milliseconds between macro instructions","宏指令之间的毫秒间隔",
"Compressed saves (recommended!)","压缩存档（推荐！）",
"Maximum embark dimension","最大开局地图尺寸",
"Display worn clothing dyes (fort mode)","显示已穿衣物的染色（堡垒模式）",
"Display worn clothing dyes (adv mode)","显示已穿衣物的染色（冒险模式）",
"Classic varied ground tiles","经典风格的多样化地面图块",
"Show rectangle dimensions","显示矩形尺寸",
"Horizontal keyboard scroll tiles","水平键盘滚动的格数",
"Horizontal keyboard scroll tiles (fast)","水平键盘滚动的格数（快速）",
"Vertical keyboard scroll tiles","垂直键盘滚动的格数",
"Vertical keyboard scroll tiles","垂直键盘滚动的格数",
"Vertical keyboard scroll tiles (fast)","垂直键盘滚动的格数（快速）",
"Horizontal keyboard scroll tiles (world)","世界地图水平键盘滚动的格数",
"Horizontal keyboard scroll tiles (world, fast)","世界地图水平键盘滚动的格数（快速）",
"Vertical keyboard scroll tiles (world)","世界地图垂直键盘滚动的格数",
"Vertical keyboard scroll tiles (world, fast)","世界地图垂直键盘滚动的格数（快速）",
Enter,Enter,
Select,选择,
Don't repeat,不重复按键,
Building,建筑,
Numpad Enter,小键盘回车,
Macros,宏,
Shift+Enter,Shift+回车,
Shift+Numpad Enter,Shift+小键盘回车,
Leave screen,关闭窗口,
ESC,ESC,
Deselect,取消选择,
Secondary Select,次要选择,
Main menu,主菜单,
Toggle Fullscreen,切换全屏,
F11,F11,
Delayed repeat,慢速重复按键,
Leftbracket,左方括号,
Rightbracket,右方括号,
Zoom Out,缩小,
Ctrl+Mwheel up,Ctrl+鼠标滚轮向上,
Add,新增,
Zoom In,放大,
Ctrl+Mwheel down,Ctrl+鼠标滚轮向下,
Restore defaults,恢复默认值,
Close mega announcement,关闭重要通知,
Select all,全选,
Alt+Minus,Alt+减号,
Tab,Tab,
Change tab or highlight selection,切换选项卡或高亮选区,
Alt+Equals,Alt+等号,
Shift+Tab,Shift+Tab,
Decrease FPS limit,降低帧率限制,
"Change tab or highlight selection, secondary",切换选项卡或高亮选区，次要选择,
Increase FPS limit,提高帧率限制,
Move selector up,向上移动选区,
Minus,减号,
Page Down,向下翻页,
Mwheel down,鼠标滚轮向下,
Plus,加号,
Move secondary selector up,向上移动次要选区,
Page secondary selector down,将次要选区移动到下一页,
Move view/cursor down,向下移动视野/光标,
Move keyboard cursor left,向左移动键盘光标,
Fast repeat,快速重复按键,
Mouse-context scrollbar page down,鼠标向下滚动翻页,
Shift+Numpad 8,Shift+小键盘数字8,
Move view/cursor down (z),向下移动视野/光标 (z),
"Move keyboard cursor down, fast",向下移动键盘光标，快速,
"Move view/cursor down (z), aux",向下移动视野/光标 (z)，辅助,
"Move view/cursor down (z), fast",向下移动视野/光标 (z)，快速,
"Move keyboard cursor left, fast",向左移动键盘光标，快速,
Move keyboard cursor up and left,向左上移动键盘光标,
Shift+4,Shift+4,
Numpad 3,小键盘数字3,
Mouse-context scrollbar page up,鼠标向上滚动翻页,
Page secondary selector up,将次要选区移动到上一页,
Asterisk,星号键,
Shift+Left,Shift+左箭头,
Move view/cursor left,向左移动视野/光标,
Shift+Numpad 4,Shift+小键盘数字4,
Move secondary selector down,向下移动次要选区,
"Move keyboard cursor right, fast",向右移动键盘光标，快速,
Shift+Right,Shift+右箭头,
Shift+6,Shift+6,
Shift+Numpad 6,Shift+小键盘数字6,
"Move keyboard cursor up and left, fast",向左上移动键盘光标，快速,
Shift+7,Shift+7,
Mouse-context scrollbar down,页面鼠标向下滚动,
Move keyboard cursor down and left,向左下移动键盘光标,
Up,上箭头,
Shift+Mwheel down,Shift+鼠标滚轮向下,
Shift+Numpad 7,Shift+小键盘数字7,
"Move view/cursor up (z), aux",向上移动视野/光标 (z)，辅助,
Page selector down,将选择区域向下翻页,
"Move keyboard cursor up and right, fast",向右上移动键盘光标，快速,
"Move keyboard cursor down and left, fast",向左下移动键盘光标，快速,
Mouse-context scrollbar up,页面鼠标向上滚动,
Slash,斜杠／,
Move view/cursor up,向上移动视野/光标,
Macro, Save,宏，保存,
Move view/cursor right,向右移动视野/光标,
Custom:,自定义:,
"Move keyboard cursor down and right, fast",向右下移动键盘光标，快速,
Move keyboard cursor right,向右移动键盘光标,
Move keyboard cursor up,向上移动键盘光标,
"Move view/cursor up, fast",向上移动视野/光标，快速,
Move keyboard cursor up and right,向右上移动键盘光标,
"Macro, Load",宏，加载,
"Move keyboard cursor up, fast",向上移动键盘光标，快速,
"Move view/cursor up (z), fast",向上移动视野/光标 (z)，快速,
Command repeat prefix-key,命令重复前缀按键,
Move keyboard cursor up (z),向上移动键盘光标 (z),
Move keyboard cursor down (z),向下移动键盘光标 (z),
"Move keyboard cursor up (z), aux",向上移动键盘光标 (z)，辅助,
"Move keyboard cursor down (z), aux",向下移动键盘光标 (z)，辅助,
Adventure: move view/cursor up (z),冒险模式: 向上移动视野/光标 (z),
Menu Confirm,菜单确认,
"Macro, Play",宏，运行,
"Adventure: move view/cursor down (z), fast","冒险模式: 向下移动视野/光标 (z)，快速,
Adventure: move view/cursor down (z),冒险模式: 向下移动视野/光标 (z),
"Adventure: move view/cursor up (z), fast",冒险模式: 向上移动视野/光标 (z)，快速,
"Macro, Record",宏，录制,
Control panel,控制面板,
Quickstart guide,快速开始,
" (Rusty)","(生疏)",
" (V Rusty)","(非常生疏)",
"body.","",
