text,translation,tags
melting at any smelter.,물품을어떤제련소에서나용해하도록지정합니다。,
"Remove melting ",용해지정을제거합니다。,
"Remove hidden ",숨김지정을제거합니다。,
"Hide an item or ",시야에서물품이나건물을,
"building from your ",숨깁니다。시민들은여전히그것을사용합니다。,
"view.  Citizens will ",,
still use it.,,
"This crucial building ",이중요한건물은교역의중심지이며，,
"is where all trading ",다른문명의운반동물은지도경계에서,
"will be done.  Pack ",이건물까지접근할수있는통행경로가필요합니다。,
"animals from distant ",나중에는，마차가통과할수있도록막힘없는폭3칸의통행로가,
"civilizations will need ",필요합니다。,
"to access this building ",,
"from the edge of the ",,
"map.  Later, wagons ",,
"will need a clear ",,
"3-wide path to the ",,
depot.,,
"   * Requires wild colony or",,
"   * Existing hive","   *야생군체또는",
Gather any products,"   *기존벌통",
"   * Destroys colony",어떤생산물이든수집,
"   * Requires a jug","   *군체를파괴함",
"   * Saves colony for split","   *단지가필요함",
No outdoor access,"   *분봉을위해군체를보존",
Outdoor access,실외로통하는경로없음,
Not ready to be split,실외로통하는경로,
No available colony,아직분봉할준비가되지않음,
Colony to Install,사용가능한군체없음,
Return Colony To Install,설치를 위해 군체를 되가져오기,
New handwear,새 손 장비,
New footwear,새 발 장비,
New headwear,새 머리 장비,
New legwear,새 다리 장비,
New bodywear,새 몸통 장비,
Mat,재료,
Thoughts,생각,
Food,음식,[ALIGNMENT:CENTER]
Meat,고기,[ALIGNMENT:CENTER]
Plant,식물,[ALIGNMENT:CENTER]
Drink,술,[ALIGNMENT:CENTER]
Other,기타,[ALIGNMENT:CENTER]
Seeds,씨앗,[ALIGNMENT:CENTER]
Fish,물고기,[ALIGNMENT:CENTER]
Pop,인구,[ALIGNMENT:CENTER]
Tasks,작업,
Workers,작업자,
Work orders,작업 지시,
Add new task,새 작업 추가,
Outpost,전초기지,
Hamlet,촌락,
Village,마을,
Town,읍,
City,도시,
Metropolis,대도시,
Capital,수도,
Mountainhome,산의 고향,
Created Wealth:,창출된 부：,
Weapons:,무기：,
Furniture:,가구：,
Other Objects:,기타 물품：,
Held/Worn:,소지/착용 중：,
Displayed:,전시 중：,
Armor and Garb:,방어구 및 의복：,
Exported Wealth:,수출된 부：,
Imported Wealth:,수입된 부：,
Architecture:,건축：,
Video,비디오,
Audio,오디오,
Game,게임,
Keybindings,키 바인딩,
Announcements,알림,
Difficulty,난이도,
Windowed,창 모드,
Fullscreen,전체 화면,
Resolution:,해상도,
Detect,감지,
" Desired grid height for scaling (default = 64)",스케일링에 필요한 격자 높이（기본값=64）,
" Desired grid width for scaling (default = 170)",스케일링에 필요한 격자 너비（기본값=170）,
Scaling mode,스케일링 모드,
Done,완료,
Automatic,자동,
"Range: ","범위: ",
No,아니요,
Yes,예,
Use Classic ASCII glyphs,클래식 ASCII 글리프 사용,
Graphical FPS cap (default 50),그래픽 FPS 제한(기본 50),
Maximum interface percentage (not counting minimap/elevation),최대 인터페이스 백분율(미니맵/고도 제외),
Window is resizable (takes effect on restart),창 크기 조절 가능(재시작 후 적용),
Initial window height (if windowed),초기 창 높이(창 모드일 때),
" Interface scaling percentage if not fitting width",인터페이스 스케일링 백분율(너비가 맞지 않을 경우),
Initial window width (if windowed),초기 창 너비(창 모드일 때),
Nearest-neighbor,최근접 보간,
Lanczos,Lanczos 보간,
Prepare carefully embark confirmation,Prepare Carefully 개척 확인,
Autosave frequency,자동 저장 주기,
Confirmation window for all embarks,모든 개척에 확인 창 표시,
Show tunnels on world map,세계 지도에 터널 표시,
Autosave the game after embark,개척 후 게임 자동 저장,
Portable mode,포터블 모드,
Pause after every autosave,자동 저장 후 일시정지,
Pause after loading,로딩 후 일시정지,
Enable temperature,온도 활성화,
In site finder,거점 찾기에서,
Enable weather,날씨 활성화,
Enable artifact moods,유물 제작 광기 활성화,
Enable caveins,붕괴 활성화,
Enable testing arena (on next title),테스트 아레나 활성화(다음 타이틀에서 적용),
Walking spreads spatter (fort mode),이동 시 오염물 확산(요새 모드),
Walking spreads spatter (adv mode),이동 시 오염물 확산(모험 모드),
Keyboard cursor enabled,키보드 커서 활성화,
Never,안 함,
Always,항상,
Log world generation map rejects,세계 생성 지도 거부 항목 기록,
Enable multithreading,멀티스레딩 활성화,
Default embark width,기본 개척 지도 너비,
Default high traffic path cost,기본 높은 통행 우선순위 경로 비용,
Default embark height,기본 개척 지도 높이,
Default normal traffic path cost,기본 일반 통행 우선순위 경로 비용,
Default low traffic path cost,기본 낮은 통행 우선순위 경로 비용,
Default restricted traffic path cost,기본 제한 통행 우선순위 경로 비용,
Storage path decrease (# of contained item cap),저장 경로 감소(포함 아이템 수 상한),
Storage path decrease (seed bag combine),저장 경로 감소(씨앗 주머니 합치기),
Storage path decrease (barrel combine),저장 경로 감소(통 합치기),
Storage path decrease (bucket combine),저장 경로 감소(양동이 합치기),
Storage path decrease (bin combine),저장 경로 감소(상자 합치기),
Population cap,인구 상한,
Strict population cap (includes births),엄격한 인구 상한(출생 포함),
Baby+child cap,아기+어린이 인구 상한,
Baby+child cap (percentage of total),아기+어린이 인구 상한（요새 인구 백분율）,
Visitor cap,방문객 상한,
Cull dead units at,사망 유닛 수가……에 도달하면 정리 시작,
Seed cap (per species),씨앗 상한（작물 종류별）,
Total seed cap,씨앗 상한（총합）,
Engravings start obscured,각인 초기에는 가려진 상태,
Show improvement quality in item names,물품 이름에 품질 표시,
Show numeric liquid levels,액체 수위 표시,
Show up/down arrows on ramps at current elevation,경사로에 현재 높이층 위/아래 화살표 표시,
Number of lower elevation layers to show,표시할 아래쪽 높이층 수,
Show all historical events in engravings etc.,각인 등에서 모든 역사적 사건 표시,
Nickname position (fort mode),별명 위치（요새 모드）,
Replace first,첫 번째만 교체,
Nickname position (adv mode),별명 위치（모험 모드）,
Nickname position (legends mode),별명 위치（전설 모드）,
Grazing coefficient (higher = less grass),방목 계수（값이 높을수록＝풀 소비가 적음）,
Replace all,모두 교체,
Centralize,중앙 정렬,
Show frames-per-second,FPS 표시,
Game frames-per-second cap (default 100),게임 FPS 상한（기본 100）,
Milliseconds for each key repeat,키 반복 1회당 밀리초,
Key hold milliseconds before repeat,반복 시작 전 키를 누르고 있을 밀리초,
Number of key repeats before accelerating,가속 전 키 반복 횟수,
Maximum key repeat acceleration multiplier,키 반복 가속 최대 배수,
Disabled,비활성화,
Enable,활성화,
Milliseconds interface shutdown after recenter,재중앙화 후 인터페이스 자동 종료까지의 밀리초,
Milliseconds between macro instructions,매크로 명령 간 밀리초 간격,
Compressed saves (recommended!),압축 저장（추천！）,
Maximum embark dimension,최대 시작 지역 크기,
Display worn clothing dyes (fort mode),착용 중인 의복 염색 표시（요새 모드）,
Display worn clothing dyes (adv mode),착용 중인 의복 염색 표시（모험 모드）,
Classic varied ground tiles,클래식 스타일의 다양한 지면 타일,
Show rectangle dimensions,사각형 치수 표시,
Horizontal keyboard scroll tiles,수평 키보드 스크롤 칸 수,
Horizontal keyboard scroll tiles (fast),수평 키보드 스크롤 칸 수（빠름）,
Vertical keyboard scroll tiles,수직 키보드 스크롤 칸 수,
Vertical keyboard scroll tiles,수직 키보드 스크롤 칸 수,
Vertical keyboard scroll tiles (fast),수직 키보드 스크롤 칸 수（빠름）,
Horizontal keyboard scroll tiles (world),세계 지도 수평 키보드 스크롤 칸 수,
"Horizontal keyboard scroll tiles (world, fast)",세계 지도 수평 키보드 스크롤 칸 수（빠름）,
Vertical keyboard scroll tiles (world),세계 지도 수직 키보드 스크롤 칸 수,
"Vertical keyboard scroll tiles (world, fast)",세계 지도 수직 키보드 스크롤 칸 수（빠름）,
Enter,Enter,
Select,선택,
Don't repeat,키 반복 안 함,
Building,건물,
Numpad Enter,숫자패드 Enter,
Macros,매크로,
Shift+Enter,Shift+Enter,
Shift+Numpad Enter,Shift+넘패드 Enter,
Leave screen,화면 닫기,
ESC,ESC,
Deselect,선택 해제,
Secondary Select,보조 선택,
Main menu,메인 메뉴,
Toggle Fullscreen,전체 화면 전환,
F11,F11,
Delayed repeat,느린 키 반복,
Leftbracket,왼쪽 대괄호,
Rightbracket,오른쪽 대괄호,
Zoom Out,축소,
Ctrl+Mwheel up,Ctrl+마우스 휠 위로,
Add,추가,
Zoom In,확대,
Ctrl+Mwheel down,Ctrl+마우스 휠 아래로,
Restore defaults,기본값 복원,
Close mega announcement,중요 공지 닫기,
Select all,전체 선택,
Alt+Minus,Alt+마이너스,
Tab,Tab,
Change tab or highlight selection,탭 전환 또는 선택 영역 강조,
Alt+Equals,Alt+등호,
Shift+Tab,Shift+Tab,
Decrease FPS limit,FPS 제한 낮추기,
"Change tab or highlight selection, secondary",탭 전환 또는 선택 영역 강조，보조 선택,
Increase FPS limit,FPS 제한 높이기,
Move selector up,선택 영역 위로 이동,
Minus,마이너스,
Page Down,페이지 내리기,
Mwheel down,마우스 휠 아래로,
Plus,플러스,
Move secondary selector up,보조 선택 영역 위로 이동,
Page secondary selector down,보조 선택 영역을 다음 페이지로 이동,
Move view/cursor down,시야/커서 아래로 이동,
Move keyboard cursor left,키보드 커서 왼쪽으로 이동,
Fast repeat,빠른 키 반복,
Mouse-context scrollbar page down,마우스로 아래로 스크롤하여 페이지 내리기,
Shift+Numpad 8,Shift+넘패드 8,
Move view/cursor down (z),시야/커서 아래로 이동 (z),
"Move keyboard cursor down, fast",키보드 커서 아래로 이동，빠르게,
"Move view/cursor down (z), aux",시야/커서 아래로 이동 (z)，보조,
"Move view/cursor down (z), fast",시야/커서 아래로 이동 (z)，빠르게,
"Move keyboard cursor left, fast",키보드 커서 왼쪽으로 이동，빠르게,
Move keyboard cursor up and left,키보드 커서 왼쪽 위로 이동,
Shift+4,Shift+4,
Numpad 3,넘패드 3,
Mouse-context scrollbar page up,마우스로 위로 스크롤하여 페이지 올리기,
Page secondary selector up,보조 선택 영역을 이전 페이지로 이동,
Asterisk,별표 키,
Shift+Left,Shift+왼쪽 화살표,
Move view/cursor left,시야/커서를 왼쪽으로 이동,
Shift+Numpad 4,Shift+숫자키패드 4,
Move secondary selector down,보조 선택기를 아래로 이동,
"Move keyboard cursor right, fast",키보드 커서를 오른쪽으로 이동，빠르게,
Shift+Right,Shift+오른쪽 화살표,
Shift+6,Shift+6,
Shift+Numpad 6,Shift+숫자키패드 6,
"Move keyboard cursor up and left, fast",키보드 커서를 왼쪽 위로 이동，빠르게,
Shift+7,Shift+7,
Mouse-context scrollbar down,페이지 마우스로 아래로 스크롤,
Move keyboard cursor down and left,키보드 커서를 왼쪽 아래로 이동,
Up,위쪽 화살표,
Shift+Mwheel down,Shift+마우스 휠 아래로,
Shift+Numpad 7,Shift+숫자키패드 7,
"Move view/cursor up (z), aux",시야/커서를 위로 이동 (z)，보조,
Page selector down,선택 영역을 아래로 페이지 넘김,
"Move keyboard cursor up and right, fast",키보드 커서를 오른쪽 위로 이동，빠르게,
"Move keyboard cursor down and left, fast",키보드 커서를 왼쪽 아래로 이동，빠르게,
Mouse-context scrollbar up,페이지 마우스로 위로 스크롤,
Slash,슬래시／,
Move view/cursor up,시야/커서를 위로 이동,
"Macro, Save",매크로，저장,
Move view/cursor right,시야/커서를 오른쪽으로 이동,
Custom:,사용자 지정:,
"Move keyboard cursor down and right, fast",키보드 커서를 오른쪽 아래로 이동，빠르게,
Move keyboard cursor right,키보드 커서를 오른쪽으로 이동,
Move keyboard cursor up,키보드 커서를 위로 이동,
"Move view/cursor up, fast",시야/커서를 위로 이동，빠르게,
Move keyboard cursor up and right,키보드 커서를 오른쪽 위로 이동,
"Macro, Load",매크로，불러오기,
"Move keyboard cursor up, fast",키보드 커서를 위로 이동，빠르게,
"Move view/cursor up (z), fast",시야/커서를 위로 이동 (z)，빠르게,
Command repeat prefix-key,명령 반복 접두 키,
Move keyboard cursor up (z),키보드 커서를 위로 이동 (z),
Move keyboard cursor down (z),키보드 커서를 아래로 이동 (z),
"Move keyboard cursor up (z), aux",키보드 커서를 위로 이동 (z)，보조,
"Move keyboard cursor down (z), aux",키보드 커서를 아래로 이동 (z)，보조,
Adventure: move view/cursor up (z),모험 모드: 시야/커서를 위로 이동 (z),
Menu Confirm,메뉴 확인,
"Macro, Play",매크로，재생,
"Adventure: move view/cursor down (z), fast",모험 모드: 시야/커서를 아래로 이동 (z)，빠르게,
Adventure: move view/cursor down (z),모험 모드: 시야/커서를 아래로 이동 (z),
"Adventure: move view/cursor up (z), fast",모험 모드: 시야/커서를 위로 이동 (z)，빠르게,
"Macro, Record",매크로，기록,
Control panel,제어판,
Quickstart guide,빠른 시작 가이드,
" (Rusty)",(서툼),
" (V Rusty)",(매우 서툼),
body.,,
